Caso;Tiempo BF;Tiempo DP
1;0.1;0.2
2;70196158.6;27.2
3;136780660.9;51.0
4;527633252.7;62.8
5;6865235.4;46.7
6;4172.4;20.1
7;166.3;16.1
8;0.0;0.0
9;0.0;0.0
10;0.0;0.0
11;21.1;2.1
12;21.2;2.0
13;22.3;2.0
14;22.2;2.0
15;22.0;2.0
16;93.0;3.1
17;263.8;9.1
18;92.5;7.0
19;117.1;7.0
20;1492.3;13.0
21;276.4;9.0
22;90.0;7.0
23;91.3;7.0
24;1480.9;13.0
25;276.6;7.8
26;1459.5;10.6
27;519.5;7.0
28;1467.0;10.0
29;16154.8;13.0
30;5052.4;13.0
31;16.4;2.2
32;964.2;8.0
33;83.1;4.0
34;13.1;3.0
35;1693.0;9.0
36;1031.8;9.7
37;195.7;8.0
38;21.0;4.0
39;1484.6;11.0
40;0.0;0.0
41;0.0;0.0
42;257.1;7.0
43;7082.2;14.0
44;8.2;2.0
45;1694.5;10.8
46;5.0;2.0
47;1480.8;11.0
48;14.0;2.0
49;42.0;5.0
50;45.0;5.0
51;11.2;4.0
52;11.0;4.0
53;6.0;2.0
54;11.0;4.0
55;0.0;1.0
56;7.0;3.2
57;14.0;4.8
58;27.5;4.0
59;104.6;5.2
60;3.0;2.0
61;7.0;3.0
62;1.0;1.0
63;6.0;2.0
64;86.4;5.0
65;11.0;3.2
66;1.0;1.0
67;3.0;2.0
68;73.2;7.1
69;56.4;4.0
70;28.0;4.0
71;106342.7;19.0
72;2559.3;8.0
73;180094.6;18.7
74;9584.8;11.2
75;79.0;5.0
76;263751.5;20.0
77;47.0;4.1
78;36192.8;14.8
79;544465.5;22.7
80;4413.2;11.3
81;72.6;4.0
82;24.7;5.0
83;11879.9;18.0
84;9.0;3.0
85;10.2;2.0
