Caso;s1;s2;Tiempo (microsegundos);Respuesta
1;alcantarilleras;alcantarilleras;2;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
1;alcantarilleras;alcantarilleras;0;0
2;acontecimientos;manifestaciones;24;15
2;acontecimientos;manifestaciones;24;15
2;acontecimientos;manifestaciones;23;15
2;acontecimientos;manifestaciones;23;15
2;acontecimientos;manifestaciones;24;15
2;acontecimientos;manifestaciones;23;15
2;acontecimientos;manifestaciones;23;15
2;acontecimientos;manifestaciones;59;15
2;acontecimientos;manifestaciones;25;15
2;acontecimientos;manifestaciones;24;15
3;aerodinamizando;adelantabilidad;29;16
3;aerodinamizando;adelantabilidad;29;16
3;aerodinamizando;adelantabilidad;59;16
3;aerodinamizando;adelantabilidad;61;16
3;aerodinamizando;adelantabilidad;57;16
3;aerodinamizando;adelantabilidad;55;16
3;aerodinamizando;adelantabilidad;55;16
3;aerodinamizando;adelantabilidad;55;16
3;aerodinamizando;adelantabilidad;55;16
3;aerodinamizando;adelantabilidad;55;16
4;aerodinamizando;manifestaciones;61;19
4;aerodinamizando;manifestaciones;60;19
4;aerodinamizando;manifestaciones;61;19
4;aerodinamizando;manifestaciones;60;19
4;aerodinamizando;manifestaciones;70;19
4;aerodinamizando;manifestaciones;32;19
4;aerodinamizando;manifestaciones;69;19
4;aerodinamizando;manifestaciones;95;19
4;aerodinamizando;manifestaciones;60;19
4;aerodinamizando;manifestaciones;60;19
5;manifestaciones;manifestar;38;7
5;manifestaciones;manifestar;37;7
5;manifestaciones;manifestar;68;7
5;manifestaciones;manifestar;38;7
5;manifestaciones;manifestar;37;7
5;manifestaciones;manifestar;38;7
5;manifestaciones;manifestar;97;7
5;manifestaciones;manifestar;38;7
5;manifestaciones;manifestar;38;7
5;manifestaciones;manifestar;38;7
6;aabbccbba;aabbcccbccb;21;4
6;aabbccbba;aabbcccbccb;20;4
6;aabbccbba;aabbcccbccb;20;4
6;aabbccbba;aabbcccbccb;20;4
6;aabbccbba;aabbcccbccb;20;4
6;aabbccbba;aabbcccbccb;20;4
6;aabbccbba;aabbcccbccb;20;4
6;aabbccbba;aabbcccbccb;20;4
6;aabbccbba;aabbcccbccb;20;4
6;aabbccbba;aabbcccbccb;20;4
7;abcabcccc;abcabccb;13;3
7;abcabcccc;abcabccb;13;3
7;abcabcccc;abcabccb;13;3
7;abcabcccc;abcabccb;13;3
7;abcabcccc;abcabccb;13;3
7;abcabcccc;abcabccb;13;3
7;abcabcccc;abcabccb;13;3
7;abcabcccc;abcabccb;36;3
7;abcabcccc;abcabccb;7;3
7;abcabcccc;abcabccb;27;3
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
8;aaabbb;aaabbb;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
9;bbbaaa;bbbaaa;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
10;cccccc;cccccc;0;0
11;abcd;efgh;3;8
11;abcd;efgh;2;8
11;abcd;efgh;2;8
11;abcd;efgh;2;8
11;abcd;efgh;2;8
11;abcd;efgh;2;8
11;abcd;efgh;2;8
11;abcd;efgh;2;8
11;abcd;efgh;2;8
11;abcd;efgh;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
12;ijkl;mnop;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
13;qrst;uvwx;2;8
